Sentence_ID,Source,Sentences,Labels,Entities,SentFIN_ID,Word Count
25,Financial Phrasebank,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),2,,,
26,Financial Phrasebank,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2,,,
27,Financial Phrasebank,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,2,,,
28,Financial Phrasebank,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",2,,,
29,Financial Phrasebank,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",2,,,
30,Financial Phrasebank,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",2,,,
31,Financial Phrasebank,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",2,,,
32,Financial Phrasebank,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",2,,,
33,Financial Phrasebank,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",2,,,
34,Financial Phrasebank,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",2,,,
35,Financial Phrasebank,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",2,,,
36,Financial Phrasebank,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,2,,,
37,Financial Phrasebank,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",2,,,
38,Financial Phrasebank,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",2,,,
39,Financial Phrasebank,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",2,,,
40,Financial Phrasebank,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",2,,,
41,Financial Phrasebank,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,,,
42,Financial Phrasebank,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,,,
43,Financial Phrasebank,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",2,,,
44,Financial Phrasebank,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",2,,,
45,Financial Phrasebank,Sales have risen in other export markets .,2,,,
46,Financial Phrasebank,Sales increased due to growing market rates and increased operations .,2,,,
47,Financial Phrasebank,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,2,,,
48,Financial Phrasebank,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",2,,,
49,Financial Phrasebank,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,2,,,
50,Financial Phrasebank,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2,,,
51,Financial Phrasebank,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",2,,,
52,Financial Phrasebank,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2,,,
53,Financial Phrasebank,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",2,,,
54,Financial Phrasebank,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2,,,
55,Financial Phrasebank,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",2,,,
56,Financial Phrasebank,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2,,,
57,Financial Phrasebank,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2,,,
58,Financial Phrasebank,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,2,,,
59,Financial Phrasebank,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",1,,,
60,Financial Phrasebank,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",1,,,
61,Financial Phrasebank,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,1,,,
62,Financial Phrasebank,"When this investment is in place , Atria plans to expand into the Moscow market .",1,,,
63,Financial Phrasebank,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",1,,,
64,Financial Phrasebank,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",2,,,
65,Financial Phrasebank,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",1,,,
66,Financial Phrasebank,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",2,,,
67,Financial Phrasebank,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,2,,,
68,Financial Phrasebank,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,1,,,
69,Financial Phrasebank,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",2,,,
70,Financial Phrasebank,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,1,,,
71,Financial Phrasebank,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",2,,,
72,Financial Phrasebank,"- So , the sales growth of cars considerably influence on the tires market '' .",1,,,
73,Financial Phrasebank,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",1,,,
74,Financial Phrasebank,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",1,,,
75,Financial Phrasebank,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",1,,,
76,Financial Phrasebank,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",1,,,
77,Financial Phrasebank,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",1,,,
78,Financial Phrasebank,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",2,,,
79,Financial Phrasebank,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",1,,,
80,Financial Phrasebank,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,1,,,
81,Financial Phrasebank,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,1,,,
82,Financial Phrasebank,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,2,,,
83,Financial Phrasebank,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",2,,,
84,Financial Phrasebank,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,1,,,
85,Financial Phrasebank,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",2,,,
86,Financial Phrasebank,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,2,,,
87,Financial Phrasebank,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2,,,
88,Financial Phrasebank,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",2,,,
89,Financial Phrasebank,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2,,,
90,Financial Phrasebank,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",2,,,
91,Financial Phrasebank,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",2,,,
92,Financial Phrasebank,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2,,,
93,Financial Phrasebank,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2,,,
94,Financial Phrasebank,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",2,,,
95,Financial Phrasebank,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",2,,,
96,Financial Phrasebank,Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,2,,,
97,Financial Phrasebank,An individual promotion also generated slightly higher-than-expected revenues .,2,,,
98,Financial Phrasebank,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2,,,
99,Financial Phrasebank,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2,,,
100,Financial Phrasebank,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,2,,,
101,Financial Phrasebank,Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,2,,,
102,Financial Phrasebank,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,2,,,
103,Financial Phrasebank,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,2,,,
104,Financial Phrasebank,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2,,,
105,Financial Phrasebank,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",2,,,
106,Financial Phrasebank,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",2,,,
107,Financial Phrasebank,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",2,,,
108,Financial Phrasebank,"International sales rose by 59.8 % to EUR 1,244.4 mn .",2,,,
109,Financial Phrasebank,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,1,,,
110,Financial Phrasebank,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,,,
111,Financial Phrasebank,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2,,,
112,Financial Phrasebank,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2,,,
113,Financial Phrasebank,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",2,,,
114,Financial Phrasebank,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",2,,,
115,Financial Phrasebank,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2,,,
116,Financial Phrasebank,Operating profit margin increased from 11.2 % to 11.7 % .,2,,,
117,Financial Phrasebank,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,2,,,
118,Financial Phrasebank,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,2,,,
119,Financial Phrasebank,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2,,,
120,Financial Phrasebank,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",2,,,
121,Financial Phrasebank,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",2,,,
122,Financial Phrasebank,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,2,,,
123,Financial Phrasebank,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",2,,,
124,Financial Phrasebank,Sanoma Magazines ' net sales are estimated to grow in 2006 .,2,,,
125,Financial Phrasebank,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,2,,,
126,Financial Phrasebank,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",2,,,
127,Financial Phrasebank,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",2,,,
128,Financial Phrasebank,The Department Store Division reported an increase in sales of 4 per cent .,2,,,
129,Financial Phrasebank,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2,,,
130,Financial Phrasebank,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",2,,,
131,Financial Phrasebank,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",2,,,
132,Financial Phrasebank,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",2,,,
133,Financial Phrasebank,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2,,,
134,Financial Phrasebank,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",2,,,
135,Financial Phrasebank,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",2,,,
136,Financial Phrasebank,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',2,,,
137,Financial Phrasebank,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,2,,,
138,Financial Phrasebank,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .",1,,,
139,Financial Phrasebank,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",2,,,
140,Financial Phrasebank,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,2,,,
141,Financial Phrasebank,Finnish Bank of +àland reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,2,,,
142,Financial Phrasebank,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,2,,,
143,Financial Phrasebank,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,2,,,
144,Financial Phrasebank,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,2,,,
145,Financial Phrasebank,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,2,,,
146,Financial Phrasebank,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,2,,,
147,Financial Phrasebank,"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",2,,,
148,Financial Phrasebank,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,2,,,
149,Financial Phrasebank,According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,2,,,
150,Financial Phrasebank,"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2,,,
151,Financial Phrasebank,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",2,,,
152,Financial Phrasebank,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",2,,,
153,Financial Phrasebank,"Again , the most significant sales increase of 18.6 % was in Russia .",2,,,
154,Financial Phrasebank,Alma Media expects its net sales to increase as forecast previously .,2,,,
155,Financial Phrasebank,Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,2,,,
156,Financial Phrasebank,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",2,,,
157,Financial Phrasebank,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",2,,,
158,Financial Phrasebank,Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,1,,,
159,Financial Phrasebank,"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",2,,,
160,Financial Phrasebank,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",2,,,
161,Financial Phrasebank,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",2,,,
162,Financial Phrasebank,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2,,,
163,Financial Phrasebank,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",2,,,
164,Financial Phrasebank,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",2,,,
165,Financial Phrasebank,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2,,,
166,Financial Phrasebank,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",2,,,
167,Financial Phrasebank,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",2,,,
168,Financial Phrasebank,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",2,,,
169,Financial Phrasebank,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",2,,,
170,Financial Phrasebank,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2,,,
171,Financial Phrasebank,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2,,,
172,Financial Phrasebank,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",2,,,
173,Financial Phrasebank,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",2,,,
174,Financial Phrasebank,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",2,,,
175,Financial Phrasebank,Cargo volume grew by 7 % .,2,,,
176,Financial Phrasebank,Cargo volume increased by approximately 5 % .,2,,,
177,Financial Phrasebank,"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",2,,,
178,Financial Phrasebank,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2,,,
179,Financial Phrasebank,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,2,,,
180,Financial Phrasebank,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,2,,,
181,Financial Phrasebank,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,2,,,
182,Financial Phrasebank,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,2,,,
183,Financial Phrasebank,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,2,,,
184,Financial Phrasebank,EBIT margin was up from 1.4 % to 5.1 % .,2,,,
185,Financial Phrasebank,"Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 .",1,,,
186,Financial Phrasebank,"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",2,,,
187,Financial Phrasebank,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",2,,,
