Sentence_ID,Source,Sentence,Label
4698,Financial Phrasebank,"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",0
4731,Financial Phrasebank,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,0
2283,Financial Phrasebank,"Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business .",2
214,Financial Phrasebank,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",2
838,Financial Phrasebank,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,2
789,Financial Phrasebank,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,2
1197,Financial Phrasebank,Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,1
49,Financial Phrasebank,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,2
16,Financial Phrasebank,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",2
4300,Financial Phrasebank,30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,0
568,Financial Phrasebank,"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",2
4043,Financial Phrasebank,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,0
3812,Financial Phrasebank,The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,1
3510,Financial Phrasebank,"After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent .",1
4542,Financial Phrasebank,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",2
4598,Financial Phrasebank,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",0
1515,Financial Phrasebank,Customers in a wide range of industries use our stainless steel and services worldwide .,1
408,Financial Phrasebank,"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",1
4608,Financial Phrasebank,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",0
2769,Financial Phrasebank,"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .",0
2237,Financial Phrasebank,The members of the management team will contribute to the adjustment measures with temporary salary cut of 5 % .,2
249,Financial Phrasebank,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,2
863,Financial Phrasebank,"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",2
233,Financial Phrasebank,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",2
488,Financial Phrasebank,Estonia 's beer market overall grew three percent last year to 130 million liters .,2
694,Financial Phrasebank,Also construction expenses have gone up in Russia .,0
3605,Financial Phrasebank,GE is building the facility with wind power developer Invenergy Wind LLC .,1
4001,Financial Phrasebank,"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",0
4559,Financial Phrasebank,"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",0
1775,Financial Phrasebank,15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .,2
3328,Financial Phrasebank,The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,1
3601,Financial Phrasebank,"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",1
127,Financial Phrasebank,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,2
4009,Financial Phrasebank,"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",0
4344,Financial Phrasebank,"The dollar fell , though , against the pound and the yen .",0
2381,Financial Phrasebank,"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",0
3989,Financial Phrasebank,"In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added .",2
350,Financial Phrasebank,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",2
4762,Financial Phrasebank,"Sales at the Tiimari business went down by 8 % to EUR 11.8 million , while Gallerix stores saw 29 % growth to EUR 2 million .",0
2723,Financial Phrasebank,`` Serving customers locally is one of the cornerstones of customer focus for us .,1
1003,Financial Phrasebank,"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",1
1530,Financial Phrasebank,"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .",1
3952,Financial Phrasebank,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",1
1751,Financial Phrasebank,EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,2
1293,Financial Phrasebank,Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .,1
1180,Financial Phrasebank,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,0
4683,Financial Phrasebank,"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",0
2849,Financial Phrasebank,Closing of such transaction took place today .,1
2337,Financial Phrasebank,"BasWare is headquartered in Espoo , Finland .",1
4533,Financial Phrasebank,"`` Adjustment to the fall in price level , in contrast , has been less effective .",0
4401,Financial Phrasebank,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,0
4207,Financial Phrasebank,"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",0
241,Financial Phrasebank,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,2
877,Financial Phrasebank,"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",2
4648,Financial Phrasebank,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",0
2983,Financial Phrasebank,"It rose by 15.7 % and by 24.8 % in Finland and abroad , respectively , to EUR 7 million and EUR 4.2 million , due to a 40 % growth in Russia .",2
697,Financial Phrasebank,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,0
3631,Financial Phrasebank,"In banking , Sampo A was unchanged at 14.24 eur and Nordea rose 0.42 pct to 9.51 eur .",2
2411,Financial Phrasebank,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",0
1253,Financial Phrasebank,"In the end , Sanoma News wants to secure its foundation with the savings .",1
4069,Financial Phrasebank,"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",0
4773,Financial Phrasebank,"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",0
1976,Financial Phrasebank,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,0
4272,Financial Phrasebank,"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",0
1066,Financial Phrasebank,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",1
4554,Financial Phrasebank,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",0
3059,Financial Phrasebank,"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",1
1088,Financial Phrasebank,The Court 's decision will also promote genuine competition in services,1
3716,Financial Phrasebank,"Panostaja Plc today acquired the entire share capital of Suomen Graafiset Palvelut Ltd , a provider of printing services .",1
121,Financial Phrasebank,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",2
3715,Financial Phrasebank,"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",1
4687,Financial Phrasebank,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",0
3452,Financial Phrasebank,"When the negotiations were started , Neste Oil anticipated that 450 people would be affected .",1
974,Financial Phrasebank,The ` buy ' recommendation was reiterated .,2
4390,Financial Phrasebank,And U.S. energy executives say high steel prices are threatening energy exploration .,0
4400,Financial Phrasebank,Full-year operating result for 2008 was 3.6 million negative .,0
2297,Financial Phrasebank,Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .,2
700,Financial Phrasebank,Salonen added that data shows producers ' pulp inventories in North America are declining . ',0
4398,Financial Phrasebank,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",0
4822,Financial Phrasebank,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",0
3722,Financial Phrasebank,Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,1
2033,Financial Phrasebank,Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,1
2562,Financial Phrasebank,"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",1
4378,Financial Phrasebank,Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,0
2879,Financial Phrasebank,Electricity consumption grows with higher frequencies .,1
4205,Financial Phrasebank,"In Sweden , there is an oversupply of pharmacies .",0
312,Financial Phrasebank,"Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers .",2
1797,Financial Phrasebank,"The company has the poser , who wants to impress people with the latest handset .",1
3063,Financial Phrasebank,Odell has not contacted the State of Finland in this issue .,1
3409,Financial Phrasebank,"The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 , Register Now at www.glassworldex.com",1
1763,Financial Phrasebank,"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",2
1029,Financial Phrasebank,"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",2
315,Financial Phrasebank,YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,2
4730,Financial Phrasebank,"Exports of goods fell by 59 % , and imports by 16.7 % .",0
4406,Financial Phrasebank,Last year 's third quarter result had been burdened by costs stemming from restructuring in the US .,0
2798,Financial Phrasebank,"Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .",0
4241,Financial Phrasebank,The appointments will be in force until the new CEO has been appointed .,1
4012,Financial Phrasebank,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,0
4385,Financial Phrasebank,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,0
1715,Financial Phrasebank,"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",0
4017,Financial Phrasebank,Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,0
1121,Financial Phrasebank,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,2
196,Financial Phrasebank,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,2
735,Financial Phrasebank,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,0
4370,Financial Phrasebank,Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .,0
4669,Financial Phrasebank,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,0
849,Financial Phrasebank,"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",2
162,Financial Phrasebank,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",2
4471,Financial Phrasebank,"The respondents praised Finnair 's reliability , Finnishness , and understanding of its target group .",2
1636,Financial Phrasebank,The investment will be worth approximately EUR 100mn .,1
1299,Financial Phrasebank,Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,1
3644,Financial Phrasebank,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .",1
4506,Financial Phrasebank,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",2
4672,Financial Phrasebank,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",0
817,Financial Phrasebank,"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",2
4060,Financial Phrasebank,Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0
2580,Financial Phrasebank,Teleste BK Optiflex amplifier products will be used in ongoing capacity upgrade of KDG 's network to bi-directionality .,1
587,Financial Phrasebank,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",2
4098,Financial Phrasebank,"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",2
4676,Financial Phrasebank,Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,0
2084,Financial Phrasebank,"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .",2
2073,Financial Phrasebank,Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,2
2059,Financial Phrasebank,"Vaahto , which has entered the deal via its subsidiary Vaahto Pulp & Paper Machinery , will supply two of the units in the end of 2010 , while the remaining ones are expected for delivery in the beginning of 2011 .",2
22,Financial Phrasebank,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",2
791,Financial Phrasebank,The objective of the planned measures is to achieve significant savings in the next few years .,2
4270,Financial Phrasebank,The production is to be liquidated before June 2009 and 325 employees loose their jobs .,0
2525,Financial Phrasebank,No more waste-burning facilities should be built .,1
2912,Financial Phrasebank,"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",1
3239,Financial Phrasebank,The employee negotiations are to address measures needed to adjust the operations to the present production situation .,1
4661,Financial Phrasebank,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",0
1811,Financial Phrasebank,"One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities .",1
1249,Financial Phrasebank,"In Finland , 71 % of paper and paperboard is reclaimed .",1
369,Financial Phrasebank,Sales of security and system packaging increased slightly .,2
4693,Financial Phrasebank,"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
674,Financial Phrasebank,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,0
3591,Financial Phrasebank,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,0
4543,Financial Phrasebank,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,1
2003,Financial Phrasebank,"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",2
3119,Financial Phrasebank,services supplier Efore Plc to streamline operations in Finland and the US Finnish electronic systems and services supplier Efore Plc ( OMX Helsinki : EFO1V ) said on Tuesday ( 3 February ) that it has initiated statutory negotiations regarding a streamlining of its operations in Finland .,2
4431,Financial Phrasebank,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",0
4646,Financial Phrasebank,"Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",0
3449,Financial Phrasebank,"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia .",1
2280,Financial Phrasebank,"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",2
1008,Financial Phrasebank,"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",1
